x_value,altitude
0,420
1,419.77221808011933
2,419.98426532755724
3,420.4312456914071
4,420.1035435721174
5,420.43701629338324
6,420.7980656049869
7,420.4834977830524
8,420.0272211692883
9,419.603455721203
10,419.30504369337945
11,419.61302844647645
12,419.95148062631756
13,420.1689933811951
14,420.4360832776175
15,420.0701646376376
16,420.32305827856504
17,420.0922399684447
18,420.08420343442845
19,419.682639551778
20,419.42242201606
21,419.69620836985587
22,419.4477181879733
23,419.1797861331041
24,419.4917391748244
25,419.2742821047177
26,419.0651611513297
27,419.3896677568833
28,419.7156025563471
29,419.8791458082524
30,419.9288285501819
31,419.7450092520914
32,419.96582263947283
33,419.90180011783514
34,420.1638545457081
35,420.2412892731372
36,419.83487391261474
37,419.50466685627714
38,419.01115047052247
39,419.01264275461824
40,418.8519663951521
41,418.517019518387
42,418.2517041308308
43,417.7855434967088
44,417.7168152554426
45,417.6273290622276
46,417.5878054882889
47,417.89418862956785
48,417.5698496184411
49,417.39633206498206
50,417.3197569493564
51,417.4558050147323
52,417.6235948271078
53,417.6321966405356
54,418.0491545101989
55,418.35771729272324
56,418.7525151585437
57,418.8826471727394
58,419.1567221021188
59,419.11030744570064
60,418.93961973523415
61,418.9758102232521
62,419.4427636526164
63,419.11691250793587
64,418.8184763288256
65,418.4310962120758
66,418.13962926520793
67,417.9124224455174
68,418.03998153203673
69,417.8278126693168
70,417.3350038923658
71,416.9494064842594
72,417.1694275940274
73,416.6903116909214
74,416.6499170725202
75,416.9101270010515
76,417.06821264665786
77,417.2468599639239
78,416.8348973428744
79,417.27863918602986
80,417.009381949028
81,417.18557306764876
82,417.6219041964495
83,417.170486912283
84,417.0046010142548
85,416.8633184287544
86,416.80500124973224
87,417.0958305854425
88,417.1014264186052
89,417.48902576870313
90,417.7858087176375
91,417.78620335931726
92,417.55835175518195
93,417.88442492497074
94,417.38830517769503
95,417.20597341318944
96,417.3785226188394
97,417.83861274562605
98,417.72638309052394
99,417.7191417022598
100,418.20911050270945
101,418.2381581521335
102,417.9831100640387
103,417.60673595141213
104,417.4288969861241
105,417.3408443883431
106,417.6703793721883
107,417.6312239053366
108,417.7844837719866
109,417.4860161918701
110,417.5654182375808
111,417.9470953546598
112,418.0274913085109
113,418.1735182586923
114,418.16902155821265
115,418.34434082791967
116,418.4649670770051
